report_no,year,country_iso3,doi,sha256
1999/047,1999,ABW,10.5089/9781451800029.002,267c439bcba05dbf000aac68ba13e01d02545f0af95c8036cb658889ae7c478d
1999/048,1999,TTO,10.5089/9781451837568.002,11c8c38186717a9685962faca50793ec166709917430577ed77609f174098e2a
1999/050,1999,ALB,10.5089/9781451800623.002,60101c82b5c9f4417d54c0990e9b20688ef44e4ba6e1c7bacce520174da135c8
1999/059,1999,EST,10.5089/9781451812336.002,17a91fc4032d86f9b0c55c964b9317dcfa57b2584fc57b819a78296be6d7251f
1999/060,1999,MLT,10.5089/9781451826562.002,616f6087cec3b01bf151bceb1c0e155561820cbacc766a71881341c50cd9ae03
1999/073,1999,LTU,10.5089/9781451823950.002,d7a70b7798e755588350410ae76892aafd5558f45bf9ac04eee69c8a1c6bf434
1999/076,1999,USA,10.5089/9781451839517.002,893b5eda89098646f9c3cef4e77e88d5ab23019605f9f454e8e50e5c1eddf61b
1999/077,1999,LVA,10.5089/9781451824421.002,8f2290e4bebd6411925cfcfa3eb038c541e3a2bf3eb9dda3efed951e44a66e01
1999/083,1999,JPN,10.5089/9781451820454.002,69bf592bb54974a292c7755efc7aa66888cef538edc7050bcbc388f8c0207a0d
1999/087,1999,IRL,10.5089/9781451818710.002,b3fbdea441d2addbfb53f405062ad3e42a1d33a8ddd29b5e87b535e360ab369d
1999/088,1999,DNK,10.5089/9781451811032.002,8b324c1c3ac106eb0d3a960f75037ef06ce2154428975da0c4b31b5a3f7cdeff
1999/089,1999,BHS,10.5089/9781451804645.002,f03379c5b494130ef3ae093c4d11c9762184d07a9386c90e25d85422ee78907e
1999/094,1999,SWE,,8eec395a988ac8e15a577c972e3d264fe3a88bdee27005c071385d1c8831fcc0
1999/103,1999,NZL,10.5089/9781451830156.002,e9e0eabd46439efe887b5c52c0ae2688d4613d2808106446b60c3f7dcc083c5f
1999/104,1999,TUN,10.5089/9781451837766.002,df234565047f41020726db8a4529c7e41d3d0871ac0c00b6a51fccaa1bc4fd5e
1999/105,1999,HTI,10.5089/9781451817539.002,b241966aebf39bf48ecf44e9394f49625629cea9846328b07269a809db9e0a6e
1999/121,1999,FIN,10.5089/9781451813142.002,53c477bfe992b54123c223e5e2509e923d9b70cbf04f71bd542a223037d8b282
1999/126,1999,NLD,10.5089/9781451829334.002,5f9f1738012a077fc6a92af38600416e2759cfcc0806d8d5e70adc31acc194af
1999/127,1999,FRA,10.5089/9781451813418.002,2048756e3de22cc83a2ebfed6ce98a125850f77b05851eb6880811221f2f8c86
1999/129,1999,DEU,10.5089/9781451810332.002,f14b1eaf71c67472de6876e90a685fb9317d9b21ba06f6d53dc651fa70c49bbb
1999/131,1999,GRC,10.5089/9781451922295.002,2d2052460fc991973e004d55ab61e64821aa772a059ab95012526086e7f0a9f7
1999/141,1999,VCT,10.5089/9781451839906.002,b524f1adda007f1792c9faf49bf0ae1b956f1a1660c8e4fe2ddf97cfbe1da879
1999/142,1999,BRB,10.5089/9781451805963.002,62bddfd627ef3bb93104438674d41160e768c912575889c2d373adb10f6402ea
1999/149,1999,COL,10.5089/9781451808797.002,a8357f523e60a065b93329ed09b09e788120daf4424f1284ef107c43629c2fe5
2000/008,2000,JAM,10.5089/9781451820072.002,81908ee0da80ad272b14decb1c870c2375df96e38f8f82f17ddf863af2b78d84
2000/016,2000,DMA,10.5089/9781451810769.002,c62ef4741d73724dac3cd4b7ca0e287c0e15b77b72ef52c372f6bef27004796e
2000/023,2000,CHE,10.5089/9781451807172.002,c1ff02a3af72aa5d52bf8ed6404742f9e6f3cc62356cdda15f870cf16493c9d4
2000/028,2000,HKG,10.5089/9781451935745.002,b34a7028210e3955823edbc8522b6cd3e49ca2cc03753f74d7500a3eb3e9623e
2000/031,2000,BEL,10.5089/9781451803099.002,dac5717f5765cc1e4f73a7a6691aca4c491ff04303c95ef9c703ef2e6107efd6
2000/032,2000,GBR,10.5089/9781451814095.002,11f63d1cdfe9ffe34dd77ce18230d9823a5f82cb8189ea66ec441550561826e1
2000/039,2000,NPL,10.5089/9781451829884.002,d59a0cdc1f651e89e81716b0c28dedcc3a9848fa21850d4e3ce06c2f014cd6a4
2000/040,2000,BOL,10.5089/9781451805710.002,b34ff5b4a7ee29f15d70ccf4163971e3e1cdd269759990c0474ff3e875b7d3b6
2000/041,2000,SVN,10.5089/9781451835625.002,3efb1bf546d542a7ada2af6ead76c3942c955a3e0f0bc0ec55849a949aeb5fa3
2000/045,2000,POL,10.5089/9781451831825.002,299f0df254a5bfc692a9890543338694e2bbef3a656efb730dd12ed62709b5e5
2000/052,2000,LBR,10.5089/9781451822823.002,ce89a8c578afbf3b14425198c22a968bab22443f7bebddf96a172f5f0b4a0e61
2000/053,2000,BGR,10.5089/9781451804348.002,1e34d6741210c56f43621dd299fb9ff8004886439423528f643693edf1dabb6e
2000/057,2000,ISR,10.5089/9781451819465.002,4d492e726faf5be17cea3da50006d9421dbd2eea25abe9aac37f2a95711c3b9b
2000/065,2000,LUX,10.5089/9781451824254.002,26c94b75dada69dc7962231b8c957162f71e021415df1fe6d4d0b1dd6926d66f
2000/066,2000,STP,10.5089/9781451834994.002,38e190e0bfb4a9b50c796e8c60d858caaa09393299082863d8d57a0630bcb3b0
2000/070,2000,SDN,10.5089/9781451833690.002,1b9889e76022cca4b94af32bff860a987ad4663920fa42f9b75e7d5b72e51ea9
2000/071,2000,ITA,10.5089/9781451819724.002,27dc63c13f3332abb7c64cf65b62b1965e4086bae2fc3e1c0ae6eefc65840136
2000/073,2000,NLD,10.5089/9781451829341.002,fe426edca8ccf43eae28c7698d39487bce61d699b5ddc379e19cb0baaaa1eef7
2000/074,2000,ALB,10.5089/9781451800630.002,0840f04cd96b9c12a0e6e94e87bf8055705bfc36f9eb4cb8301ebab9b88b8bd7
2000/076,2000,MKD,10.5089/9781451826036.002,803d799105d1a3a52f2a70a66b0c7d3c3952ac927fe06ff4cb69663df3ea2682
2000/085,2000,GRD,10.5089/9781451816389.002,8f7053e5150c411dc33e4cf6f3a25436c281e376b5f914e3e0b53d9de83386b4
2000/086,2000,BFA,10.5089/9781451803662.002,12e69fdd26b15f0004fdedfe6ebf05745710a58f6d57ebbdefac7a12000166df
2000/089,2000,USA,10.5089/9781451839524.002,036bed1c868b7751c421164079dd1a5e7c3e946dd2984a6f5b47ad72999e076a
2000/093,2000,DZA,10.5089/9781451811360.002,3bec927614726d71e3f1a38589aecf58357a2daa3ffdaf6a13ff81ab3a121384
2000/094,2000,CHL,10.5089/9781451807486.002,8a3b854df3209907171096cd099e95228ce5819ec90ab511a0a0f68c4a646e89
